因变量,通话总量,大网占比,小网占比
0.190667838,2.580924976,0.713910761,0.286089239
0.132797758,2.683047038,0.93153527,0.06846473
0.041208542,1.643452676,0.909090909,0.386363636
0.208725579,2.691081492,0.741344196,0.466395112
0.196005291,2.324282455,0.829383886,0.170616114
0.168666568,2.401400541,0.936507937,0.063492063
0.073435251,2.225309282,0.75,0.44047619
0.052803155,2.161368002,0.772413793,0.227586207
0.299676422,3.20709554,0.954065798,0.045934202
0.163092539,2.57634135,0.925729443,0.291777188
0.033329279,1.672097858,1,0.021276596
0.271552643,3.048830087,0.947274352,0.162645219
0.280419718,2.715167358,0.986512524,0.179190751
-0.041881489,2.371067862,0.889361702,0.140425532
0.276734395,2.580924976,0.929133858,0.356955381
0.047811584,2.278753601,0.884210526,0.115789474
0.459132828,3.464936429,0.952005485,0.192320878
0.235674656,2.584331224,0.940104167,0.114583333
0.060025745,2.403120521,0.980237154,0.019762846
0.284066106,3.297979244,0.909365559,0.090634441
0.272022549,2.911690159,0.970588235,0.029411765
0.184226966,2.872156273,0.989261745,0.028187919
-0.023596754,1.903089987,0.7,0.6875
0.22331075,2.943988875,0.96814562,0.03185438
0.169436691,2.164352856,0.910958904,0.356164384
0.117810272,2.519827994,0.80060423,0.50755287
0.2970937,3.13481437,0.899560117,0.197214076
0.037733671,2.465382851,0.554794521,0.445205479
0.192979259,2.584331224,0.825520833,0.174479167
0.253146039,2.978180517,0.804416404,0.404837014
0.188415075,2.635483747,0.962962963,0.037037037
-0.228351221,0.903089987,0.75,0.25
0.242985103,2.765668555,0.694682676,0.305317324
0.106240196,2.267171728,0.821621622,0.232432432
0.114741082,2.100370545,0.936507937,0.063492063
0.344976796,3.228400359,0.910756501,0.089243499
0.090135781,1.86923172,0.891891892,0.162162162
0.26462359,2.515873844,0.81097561,0.329268293
0.269792302,2.788875116,0.970731707,0.26504065
0.21575673,2.567026366,0.951219512,0.048780488
0.252133779,2.617000341,0.685990338,0.374396135
0.216642347,2.873901598,0.53342246,0.487967914
0.273909344,3.105850674,0.838557994,0.161442006
0.156227989,2.620136055,0.477218225,0.657074341
0.259247386,2.733999287,0.815498155,0.184501845
0.150505895,2.587710965,0.772609819,0.405684755
0.056050182,2.123851641,0.563909774,0.436090226
0.066412887,2.290034611,0.943589744,0.128205128
0.177796647,2.82672252,0.739195231,0.266766021
0.092020641,2.322219295,0.957142857,0.042857143
0.107031575,2.222716471,0.994011976,0.071856287
0.176827729,2.57863921,0.944591029,0.055408971
0.11022655,2.399673721,0.796812749,0.247011952
0.367944381,3.267406419,0.977309562,0.022690438
0.142703595,2.340444115,0.99086758,0.00913242
0.182191567,2.658011397,0.817582418,0.301098901
0.302450305,2.951823035,0.860335196,0.139664804
0.291264725,2.808210973,0.99222395,0.124416796
0.302515327,2.544068044,0.848571429,0.8
-0.163248466,1.301029996,0.95,0.05
0.369196849,3.532372134,0.989140006,0.896096272
0.275001713,2.598790507,0.979848866,0.040302267
0.121282489,2.482873584,0.917763158,0.203947368
0.045757816,2.184691431,0.967320261,0.08496732
0.27952325,2.844477176,1,0.246065808
0.309393238,3.104145551,0.989771833,0.046420142
0.255918129,2.786751422,0.975490196,0.024509804
0.318378967,3.202215776,0.988072819,0.202762084
0.724281147,2.829303773,0.73037037,0.361481481
0.045324421,1.995635195,0.919191919,0.121212121
0.269747225,2.822168079,1,0
0.340832779,3.297979244,0.813695871,0.186304129
0.228210256,2.469822016,0.847457627,0.6
0.07996513,2.136720567,0.96350365,0.03649635
0.359707101,3.251151343,0.983174425,0.038698822
0.168368864,2.888179494,0.989650712,0.34152652
0.348972835,3.339451441,0.99771167,0.034324943
0.177481087,2.662757832,0.87173913,0.5
0.24479947,2.758154622,0.820244328,0.642233857
0.102498604,2.371067862,0.770212766,0.285106383
0.400755369,3.336859821,0.98572744,0.01427256
0.160486025,2.539076099,0.947976879,0.052023121
0.115348171,2.29666519,0.974747475,0.025252525
0.277598842,2.990338855,0.982617587,0.051124744
0.202961626,2.866877814,0.827445652,0.172554348
0.137827535,2.456366033,0.828671329,0.185314685
0.281179333,3.062957834,0.914359862,0.09083045
0.087074266,2.487138375,0.90228013,0.09771987
0.195564746,2.553883027,0.974860335,0.025139665
0.137446414,2.45484486,0.964912281,0.035087719
0.21736392,3.097604329,0.488019169,0.546325879
0.227014161,2.894869657,0.954140127,0.045859873
0.216004879,2.888179494,0.663648124,0.358344114
0.290330224,2.8876173,0.911917098,0.773316062
0.08582631,2.463892989,0.903780069,0.223367698
0.489078415,3.363423933,0.93980078,0.06019922
0.332215314,2.949390007,0.728089888,0.292134831
0.224462489,2.656098202,1,0
0.21137517,2.564666064,0.839237057,0.196185286
0.234289142,2.680335513,0.979123173,0.020876827
0.005570907,1.986771734,0.896907216,0.298969072
0.638416044,2.359835482,0.768558952,0.231441048
-0.049913738,1.591064607,0.717948718,0.282051282
0.24361532,2.133538908,0.845588235,0.154411765
0.316249567,3.14332713,0.991373113,0.031631919
