"户籍","性别","年龄","工作时间.月.","是否离职"
"本地","女",27,12,1
"异地","男",27,12,1
"本地","男",32,18,1
"本地","男",26,8,1
"本地","男",31,5,1
"本地","男",30,4,1
"本地","男",33,15,1
"异地","男",30,13,1
"本地","男",26,14,1
"异地","男",32,12,1
"异地","男",28,8,1
"本地","女",25,8,1
"异地","男",46,8,1
"本地","男",25,8,1
"本地","女",25,11,1
"本地","男",40,17,0
"本地","男",33,14,0
"异地","男",30,35,0
"异地","女",32,16,1
"异地","男",31,17,1
"异地","男",41,11,1
"异地","女",29,17,0
"异地","女",31,15,1
"异地","男",26,16,1
"异地","男",32,23,0
"异地","男",37,23,0
"异地","女",30,18,0
"异地","女",28,9,1
"异地","女",40,27,1
"异地","男",25,15,1
"异地","男",25,18,1
"异地","男",36,17,1
"异地","男",25,23,0
"异地","男",26,11,1
"异地","女",31,9,1
"异地","女",25,26,1
"异地","男",25,20,1
"异地","男",30,16,1
"本地","男",27,13,1
"异地","女",26,14,1
"异地","女",26,17,0
"异地","女",33,16,0
"异地","女",38,35,0
"异地","女",22,20,1
"异地","女",32,24,0
"异地","男",30,17,0
"异地","男",27,8,1
"异地","男",26,8,1
"异地","男",28,24,0
"异地","男",26,14,1
"异地","男",21,8,1
"异地","女",27,29,1
"异地","女",36,25,0
"异地","女",25,24,0
"异地","男",30,23,0
"本地","男",33,17,0
"异地","女",25,17,0
"本地","女",30,37,0
"异地","男",21,28,1
"本地","女",37,24,1
"本地","男",30,24,0
"本地","女",26,16,1
"异地","男",30,24,0
"本地","男",26,12,1
"异地","女",20,13,0
"异地","男",35,11,1
"本地","男",25,20,1
"本地","男",32,19,0
"异地","男",35,9,1
"本地","男",31,12,1
"本地","男",31,17,1
"异地","男",22,18,1
"本地","男",26,6,1
"异地","男",32,10,1
"异地","男",30,23,0
"本地","女",30,16,1
"异地","女",26,18,0
"异地","男",33,28,1
"本地","男",31,33,0
"本地","男",32,25,1
"异地","女",31,30,1
"异地","男",37,33,0
"本地","男",37,35,0
"本地","男",30,21,1
"异地","男",26,23,0
"异地","女",25,16,1
"异地","男",35,12,0
"本地","女",25,29,1
"异地","男",31,35,0
"本地","男",35,27,0
"本地","女",36,12,0
"本地","男",25,8,1
"本地","女",41,12,0
"本地","女",40,12,0
"本地","女",25,25,0
"本地","男",37,14,1
"本地","男",30,12,1
"本地","女",31,12,0
"本地","男",30,32,0
"本地","男",30,26,0
"本地","女",36,18,0
"本地","女",37,8,1
"本地","男",25,7,1
"本地","男",32,16,0
"本地","女",28,6,1
"异地","男",40,14,0
"异地","女",28,18,0
"异地","女",25,8,1
"本地","男",31,8,1
"本地","男",26,15,1
"本地","男",26,24,0
"异地","男",22,12,1
"异地","男",35,13,0
"异地","男",25,13,0
"异地","男",30,4,1
"异地","女",27,16,1
"异地","男",33,16,1
"异地","男",30,35,0
"异地","男",21,35,0
"本地","男",31,13,1
"本地","女",30,19,1
"本地","男",35,34,0
"本地","男",41,9,1
"本地","男",46,15,1
"本地","女",25,8,1
"异地","女",33,25,1
"异地","男",32,13,1
"异地","男",22,5,1
"异地","男",31,8,1
"异地","男",26,18,0
"异地","女",32,6,1
"异地","女",35,28,1
"异地","男",30,19,0
"异地","男",26,2,1
"异地","女",25,6,1
"异地","女",26,7,1
"异地","男",25,3,1
"异地","男",27,15,1
"本地","男",31,12,1
"本地","男",32,21,0
"异地","女",27,7,1
"异地","女",25,18,0
"异地","女",25,14,1
"异地","男",31,7,1
"异地","男",26,8,1
"异地","男",31,6,1
"异地","男",30,26,1
"异地","女",27,11,1
"异地","男",32,14,0
"异地","男",26,5,1
"异地","男",20,5,1
"异地","男",27,3,1
"本地","男",30,3,1
"本地","男",25,17,0
"异地","男",26,7,1
"本地","女",31,19,1
"本地","男",21,12,1
"异地","男",31,10,1
"异地","男",31,4,1
"本地","男",26,3,1
"本地","男",31,4,1
"本地","男",37,3,1
"本地","女",27,4,1
"本地","女",32,3,1
"本地","女",26,12,0
"本地","女",27,12,0
"本地","男",36,5,1
"本地","男",25,3,1
"异地","男",28,3,1
"本地","男",28,7,1
"本地","女",27,3,1
"异地","男",27,5,1
"本地","男",27,7,1
"本地","女",31,4,1
"本地","男",35,6,1
"本地","男",36,10,1
"本地","女",31,5,1
"本地","女",20,12,0
"异地","女",30,11,1
"本地","女",26,2,1
"本地","男",25,4,1
"异地","男",30,10,1
"异地","女",22,12,0
"本地","男",26,3,1
"异地","男",25,7,1
"异地","女",31,11,0
"异地","女",26,2,1
"异地","男",28,5,1
"本地","男",37,2,1
"异地","男",20,4,1
"本地","女",35,3,1
"本地","男",36,8,1
"异地","男",33,5,1
"本地","女",26,4,1
"异地","男",32,4,1
"本地","男",20,2,1
"异地","男",41,4,1
"本地","女",25,2,1
"本地","男",26,4,1
"本地","男",36,11,0
"本地","男",35,11,0
"异地","男",46,11,0
"异地","男",31,11,0
"异地","男",30,6,1
"异地","男",31,3,1
"本地","女",37,11,0
"异地","男",31,3,1
"异地","男",20,2,1
"异地","男",28,3,1
"异地","女",31,11,0
"本地","女",45,4,1
"异地","男",31,11,0
"异地","男",46,4,1
"本地","男",25,3,1
"异地","男",25,7,1
"本地","男",36,2,1
"异地","男",22,2,1
"异地","男",26,2,1
"异地","男",33,5,1
"本地","男",32,6,1
"异地","男",25,4,1
"异地","男",25,12,0
"本地","男",26,5,1
"本地","男",25,9,1
"异地","男",33,10,1
"本地","女",26,4,1
"异地","女",26,3,1
"异地","男",32,8,1
"本地","男",33,6,1
"异地","男",22,9,1
"异地","女",26,4,1
"异地","男",30,6,1
"异地","男",26,10,1
"异地","男",25,11,0
"本地","男",21,8,1
"异地","男",30,11,0
"异地","女",30,2,1
"本地","女",20,2,1
"异地","男",26,11,0
"异地","女",28,7,1
"异地","女",32,2,1
"本地","男",26,4,1
"异地","男",38,3,1
"本地","男",26,7,1
"异地","女",28,6,1
"异地","男",20,5,1
"本地","男",27,3,1
"异地","女",26,3,1
"异地","男",36,11,0
"本地","男",31,11,0
"本地","男",26,11,0
"本地","女",30,11,0
"异地","男",26,11,0
"异地","男",21,3,1
"本地","男",25,8,1
"异地","女",25,6,1
"本地","女",27,2,1
"本地","女",26,10,1
"异地","女",25,12,0
"本地","男",27,8,1
"本地","女",31,12,0
"异地","男",32,4,1
"本地","男",26,2,1
"本地","男",32,2,1
"本地","男",27,17,1
