district,bedrooms,halls,area,floor,subway,school,price
石景山,3,2,133.7256384,middle,1,0,4.948739983
东城,4,2,221.5419164,high,1,1,7.895078781
海淀,2,1,76.94269467,middle,1,0,6.748784533
海淀,4,2,175.862716,low,1,1,5.976168883
朝阳,1,2,87.87961425,middle,1,0,5.515469795
朝阳,3,1,67.68742364,middle,1,0,5.317604921
石景山,3,2,143.025112,low,1,0,5.210278962
丰台,3,2,150.3913673,high,1,0,5.322091623
朝阳,2,1,60.15361178,low,1,0,6.82534471
海淀,4,1,107.9730366,high,1,0,6.248690688
丰台,2,1,102.4690266,low,1,0,4.993601026
丰台,2,1,89.30275299,low,1,0,4.410518162
丰台,3,1,105.5723747,middle,1,0,4.698664503
朝阳,1,0,51.27094778,middle,1,0,4.835806233
朝阳,2,1,119.0436025,high,1,1,4.840746636
石景山,2,1,61.04822829,middle,1,0,4.064514187
西城,3,1,55.77421478,middle,1,0,7.224389008
海淀,2,1,85.5756895,low,1,0,5.995741453
石景山,2,1,56.06941015,high,1,0,3.915629222
朝阳,2,2,95.49742139,middle,1,0,6.881462291
东城,1,1,36.71192822,middle,1,1,9.423805996
丰台,2,1,96.88471325,high,0,0,3.363469457
东城,1,1,91.29998662,middle,1,0,6.534041259
西城,2,1,57.00250293,high,1,1,10.0396127
朝阳,2,2,104.8107839,low,0,0,5.030787048
西城,3,1,81.74367761,low,1,0,6.48377834
东城,1,2,61.08049925,middle,0,0,7.890035023
东城,1,1,61.80978235,middle,1,1,7.095013445
朝阳,3,2,170.9461086,high,1,0,4.871533289
丰台,2,1,55.12790704,middle,0,0,4.966543456
石景山,2,1,61.06288655,middle,0,0,3.916953671
海淀,2,1,92.08900726,low,0,0,5.426963645
西城,1,1,46.79519138,low,1,1,10.4979475
石景山,3,1,60.55565939,high,1,0,4.441729983
西城,2,1,73.08947564,low,1,0,8.260122761
西城,3,2,152.2191166,middle,1,1,6.38744038
海淀,1,1,61.52988395,low,1,0,5.355259424
东城,2,1,64.5586883,middle,1,0,4.373582002
朝阳,2,1,70.76543593,low,1,0,4.068999373
朝阳,2,1,54.7263282,low,1,1,6.261277739
朝阳,3,2,137.7395352,low,1,0,7.383254222
丰台,3,2,134.5449466,low,1,0,6.119362085
朝阳,2,1,124.8063872,middle,1,0,5.322383672
丰台,3,2,111.4240215,middle,1,0,4.568775122
丰台,2,2,59.11036608,high,1,0,4.292742657
西城,3,1,81.5915401,low,1,0,10.22300778
东城,2,2,90.1290359,middle,1,1,7.891805389
海淀,2,1,108.8564031,low,1,0,4.601087898
丰台,2,1,63.51299267,middle,1,0,4.548582934
朝阳,2,2,135.7626754,low,1,0,6.221506025
朝阳,3,2,179.3729948,low,1,1,7.43191077
丰台,3,2,136.3783576,high,1,0,5.443143355
石景山,2,1,69.9036697,low,1,0,4.298892176
朝阳,2,2,99.30651522,middle,1,1,6.251521315
东城,1,1,61.93331996,middle,1,1,8.391052343
海淀,2,1,62.6681799,high,1,0,8.656391494
西城,3,1,80.81464558,high,1,1,7.872115536
东城,2,1,76.86546767,high,1,1,10.74654187
石景山,2,1,56.90922906,high,0,0,3.39042744
西城,3,1,89.38300073,middle,1,1,10.24246364
丰台,2,1,83.88459312,middle,1,0,4.847067628
石景山,3,1,141.8137021,high,1,0,4.095251307
海淀,1,1,55.37462841,high,1,1,9.030379749
海淀,2,1,77.43999944,high,1,0,7.969331437
西城,2,1,48.06546415,middle,1,1,12.04527068
石景山,5,1,223.63256,low,0,0,5.972336658
西城,2,1,58.8305875,low,1,0,7.419042479
丰台,2,1,69.40992126,middle,1,0,4.906992247
石景山,3,2,116.3640356,middle,1,0,3.530309228
石景山,1,1,67.84650241,middle,1,0,3.771982369
东城,1,1,55.0796244,low,1,1,7.888022318
海淀,2,0,61.71992474,middle,1,1,10.45552206
海淀,3,2,214.4788563,high,1,0,6.025386187
海淀,1,1,56.43207186,high,1,0,5.629442885
朝阳,3,2,140.5021334,middle,0,0,5.169286863
石景山,1,1,51.51970233,high,1,0,3.33069741
东城,3,1,130.4546893,low,1,1,6.845507033
东城,2,1,71.02149122,low,1,1,8.5059017
丰台,2,1,78.05996123,middle,1,0,5.84579398
西城,2,1,61.79908314,middle,1,1,10.04900574
东城,2,1,62.36060627,high,1,0,8.217650519
石景山,2,1,65.20968837,high,0,0,4.810438045
东城,4,2,183.7315117,high,1,0,5.211592272
丰台,3,2,170.6799629,middle,0,0,5.567788293
西城,4,2,239.1769134,low,0,1,10.22897011
海淀,2,2,65.26035176,middle,1,1,10.64208523
西城,2,1,55.94074842,high,1,1,7.431959929
朝阳,2,1,62.83108691,middle,1,0,5.735150915
